ID,Description,geneSet,geneCount
GO:0002253,activation of immune response,A2M/ABL1/ADA/APCS/BAX/BCL2/CFB/CEACAM1/BLK/BMX/BTK/BTN1A1/C1QBP/SERPING1/C1QA/C1QB/C1QC/C1R/C1S/C2/C3/C3AR1/C4A/C4B/C4BPA/C4BPB/C5/C5AR1/C6/C7/C8A/C8B/C8G/C9/CACNB3/CASP6/CBLB/CD247/CD5L/CD8A/CD8B/CD19/MS4A1/CD22/CD28/CD38/CD47/CD59/CD79A/CD79B/CD81/CLU/CCR7/CMKLR1/CR1/CR1L/CR2/CREBBP/CRKL/CRP/CSK/CTLA4/CD55/CFD/DUSP3/EIF2B1/ELF1/EP300/FCER1G/FCGR2B/FCN1/FCN2/FGR/FPR1/FPR2/FPR3/FYB1/FYN/XRCC6/GATA3/GBP1/GPLD1/GPR32/GPR32P1/GPR33/FFAR2/GPS2/HCK/NCKAP1L/CFH/CFHR1/HLA-A/HLA-DPB1/HLA-DQB1/HLA-DRB1/HLA-DRB3/HMGB1/HRAS/HSP90AA1/CFI/IFI16/IGHA1/IGHA2/IGHD/IGHE/IGHG1/IGHG2/IGHG3/IGHG4/IGHM/IGKC/IGLC1/IGLC2/IGLC3/IGLC6/IGLL1/IKBKB/IL1B/INPP5D/ITK/KCNN4/KLRC2/KLRC3/KLRD1/KRT1/LCK/LCP2/LGALS3/LIMK1/LYN/SH2D1A/MBL2/CD46/MEF2C/MFAP4/MICB/MNDA/MOG/NFATC2/NONO/PAK1/PAK2/PAK3/PAWR/PDE4B/PDE4D/CFP/PHB1/PIK3CA/PIK3CD/PLCG1/PLCG2/PLD2/PLSCR1/PRKCB/PRKCD/PRKCE/PRKCH/PRKDC/MAPK1/PRNP/MASP1/PSEN1/PTK2/PTPN2/PTPN6/PTPRC/PTPRJ/NECTIN2/RELA/RPS3/SFPQ/SRC/STK11/SYK/MAP3K7/TEC/THY1/TLR4/TRAF6/TXK/TYROBP/UBE2N/VAV1/VAV2/EZR/LAT2/XRCC5/YES1/ZAP70/LAPTM5/BAG6/NR4A3/KLRC4/PLA2G6/IKBKG/DGKZ/FCN3/SKAP1/RIPK2/EIF2B4/EIF2B3/EIF2B2/EIF2B5/BCL10/RAB29/LPXN/AIM2/THEMIS2/BCAR1/MATR3/TESPA1/TOMM70/PQBP1/BTN3A3/BTN2A2/RBM14/VAV3/COLEC10/SH2B2/HEXIM1/RBCK1/KHDRBS1/CD226/MASP2/MALT1/BTNL3/LILRB4/LILRA2/BTN3A2/BTN3A1/BTN2A1/CD160/HHLA2/TREX1/CD300A/VSIG4/KLRK1/FCHO1/RFTN1/PLCL2/ICOSLG/PRKD2/SIN3A/APPL1/PTPN22/STAP1/FOXP1/C5AR2/TNFRSF21/RABGEF1/IGHV7-81/IGHV6-1/IGHV5-10-1/IGHV5-51/IGHV4-38-2/IGHV4-61/IGHV4-59/IGHV4-39/IGHV4-34/IGHV4-31/IGHV4-30-4/IGHV4-28/IGHV4-4/IGHV3-74/IGHV3-73/IGHV3-72/IGHV3-66/IGHV3-64/IGHV3-53/IGHV3-49/IGHV3-48/IGHV3-43/IGHV3-38/IGHV3-35/IGHV3-33/IGHV3-30/IGHV3-23/IGHV3-21/IGHV3-20/IGHV3-16/IGHV3-15/IGHV3-13/IGHV3-11/IGHV3-9/IGHV3-7/IGHV2-70/IGHV2-26/IGHV2-5/IGHV1-69-2/IGHV1-69/IGHV1-58/IGHV1-45/IGHV1-24/IGHV1-18/IGHV1-8/IGHV1-3/TRDC/TRBC2/TRBC1/IGLC7/RGCC/PHPT1/PYCARD/TBK1/BLNK/STOML2/TRAT1/FOXP3/C1RL/SPG21/UBASH3A/TREM2/RC3H2/BTN2A3P/LAX1/LIME1/BANK1/SUSD4/RNF31/APPL2/PSPC1/BTNL2/DUSP22/ZNFX1/SLC39A10/IGHV7-4-1/IGHV3-30-3/MAVS/NLRC4/PLEKHA1/MYO1G/NOD2/NFKBIZ/CLEC7A/WNK1/COLEC11/PVRIG/VTCN1/BTNL8/ZC3H12A/CD276/ZBP1/CFHR5/PRAM1/SLA2/CARD11/NFKBID/TRIM5/ZCCHC3/IGHV3-30-5/KLHL6/CLEC6A/ERMAP/CGAS/FCRL3/SPPL3/CMTM3/GCSAML/RC3H1/PYHIN1/NFAM1/BTNL9/DENND1B/PLPP4/FYB2/GCSAM/NCR3/HMSD/STING1/THEMIS/IGHV1OR15-1/MIR18A/MIR19A/MIR34A/MIR520E/MIR520B/BTNL10/KIR2DS2/IGLL5/KLRC4-KLRK1/IGHV2-70D/IGHV1-69D/IGHV3-64D/IGHV3-43D/PYDC5,386
GO:0002260,lymphocyte homeostasis,ABL1/ADA/AKT1/FAS/BAK1/BAX/BCL2/TNFRSF17/CAMLG/CASP3/CD74/TSC22D3/NCKAP1L/HIF1A/IL2/IL2RA/JAK3/LGALS2/LGALS9/LMO1/LYN/MEF2C/MIF/P2RX7/PMAIP1/PPP3CB/PKN1/RAG1/RPS6/SKIL/SOS1/SOS2/SPTA1/STAT5B/TNFAIP3/FOXN1/TNFSF14/FADD/BCL10/DNAJA3/CCNB2/BCL2L11/TCIRG1/TNFSF13B/TRAF3IP2/RIPK3/CORO1A/TNFRSF13B/LAT/SIT1/SLC39A3/SLC40A1/FOXP3/RC3H2/PPP2R3C/DOCK10/GPAM/SLC46A2/ZC3H8/GPR174/SPNS2/DOCK11/RC3H1/GAPT/MIR17HG,65
GO:0002262,myeloid cell homeostasis,ACVR1B/ACVR2A/ADAR/ALAS1/ALAS2/SLC25A5/ANXA1/ARNT/AXL/B2M/BAK1/BAX/BCL6/BMP4/BPGM/ZFP36L1/CASP3/CDK6/CEBPG/MAPK14/DNASE2/EPAS1/EPB42/DMTN/EPO/ERCC2/ETS1/ETV2/FANCC/FOXO3/G6PD/GATA1/GATA2/GATA3/GPI/HCLS1/NCKAP1L/HIF1A/HMGB1/HMGB2/HMOX1/HOXA5/HOXB6/PRMT1/HSPA1A/HSPA1B/HSPA9/ID2/IL6/INHA/INHBA/INPP5D/IREB2/ITPKB/JAK2/JAK3/KCNQ1/KIT/LYN/SMAD5/MB/KITLG/MPL/SLC11A2/PRDX1/PDE4B/PIK3CB/PIK3CD/PKNOX1/MED1/PRKDC/PTPN2/RB1/ARID4A/RHAG/RPS6/RPS14/RPS17/RPS19/RPS24/SCNN1B/SLC4A1/SOD1/SP3/SPI1/SRF/STAT1/STAT3/STAT5B/ADAM17/TAL1/TGFBR3/THRA/VEGFA/ZFP36/ZNF16/BAP1/PLA2G10/DYRK3/LDB1/MFHAS1/ISG15/MAFB/PTBP3/BCL2L11/SH2B3/TRIM10/MAEA/IKZF1/KLF2/CITED2/MERTK/KLF1/TRAF3IP2/KAT7/ACIN1/RCOR1/JMJD6/UFL1/NCSTN/ABCB10/RBFOX2/SLC7A11/BRD1/TRIM58/FLVCR1/HIPK2/TMOD3/FOXP3/AHSP/ZBTB7A/TMEM14C/KLF13/P4HTM/NCAPG2/SLC25A38/XKR8/LYAR/KMT2E/HAMP/SMAP1/UBA5/CDK5RAP3/MPIG6B/JAM3/L3MBTL3/CDIN1/ATP5IF1/SFXN1/FAM210B/SLC15A4/ANKRD54/ZFPM1/ADGRF5/TSPO2/HCAR2/MIR221/MIR222/RHEX/CCR2,160
GO:0002263,cell activation involved in immune response,ABL1/ADA/ADORA2B/AP1G1/ANXA1/ANXA3/APP/ATP7A/BCL3/BCL6/BCR/CEACAM1/BLK/BTK/CBL/CD1C/CD19/CD28/CD80/CD86/CD40/CD40LG/CD74/CD81/CDH17/CHGA/CCR6/CR1/CX3CR1/DNASE1/DNASE1L3/DOCK2/GPR183/ERCC1/F2RL1/PTK2B/FCER1G/FCGR2B/FER/FES/FGR/FOXF1/MTOR/GATA1/GATA2/GATA3/GRN/MSH6/NCKAP1L/HLA-DMB/HLA-DRA/HLA-DRB1/HLA-F/HLX/HMGB1/HMOX1/HSPD1/ICAM1/IRF8/IFI35/IFNA1/IFNA2/IFNA4/IFNA5/IFNA6/IFNA7/IFNA8/IFNA10/IFNA13/IFNA14/IFNA16/IFNA17/IFNA21/IFNB1/IFNG/IFNW1/IL2/IL4/IL4R/IL6/IL6R/IL10/IL12B/IL12RB1/IL13/IL13RA2/IL18/IRF4/ITGAL/ITGAM/ITGB2/JAK3/KARS1/KIT/KLRC2/LAMP1/LBP/LCP1/LFNG/LGALS1/LGALS3/LGALS9/LIG4/LRP1/LY9/CD180/LYN/SMAD7/CD46/MDK/MFNG/MLH1/MSH2/MYB/MYD88/NBN/NKG7/NOTCH2/PCK1/ENPP3/PDPK1/PIK3CD/PIK3CG/PLCG2/POU2AF1/PRKCE/PRKCZ/PSEN1/PTAFR/PTGDR/PTGDS/PTGER4/PTPN6/PTPRC/RAB27A/RAC2/RAG2/RARA/RELB/RORA/RORC/RPS6/S100A13/SCNN1B/CCL3/CCL19/ST3GAL1/SLAMF1/SLC11A1/SPI1/SPN/STAT3/STAT6/STX4/STXBP1/STXBP2/STXBP3/SUPT6H/VAMP2/VAMP7/SYK/TFRC/TGFB1/TLR4/TP53/TP53BP1/TSC1/TNFSF4/TYROBP/UNG/LAT2/NSD2/XBP1/NR4A3/DYSF/EOMES/VAMP8/SNX4/GBF1/TNFSF13/RIPK2/SNAP23/IL18R1/CD84/PGLYRP1/TNFSF18/RNF8/NMI/EXO1/ITM2A/IL27RA/SOCS5/GAB2/THOC1/PARP3/RASGRP1/MAD2L2/BATF/CPLX2/LILRB1/FGL2/MALT1/LILRA2/CORO1A/TREX1/CD300A/SBNO2/PAXIP1/SWAP70/PLCL2/CLCF1/TMEM98/CLEC4E/LAT/FOXP1/RABGEF1/DLL1/PYCARD/TBX21/ADGRE2/PLA2G3/FOXP3/EXOSC3/ZBTB7B/KMT5B/LEF1/IL23A/CD244/TREM2/APBB1IP/SHLD2/RC3H2/RIF1/DOCK10/ITFG2/SUCNR1/IFNK/SPHK2/TCIM/HMCES/ENTPD7/C12orf4/CD177/AICDA/IL21/SEMA4A/NFKBIZ/CLEC7A/ATAD5/ZC3H12A/NDFIP1/PRAM1/LOXL3/CRACR2A/KMT5C/NFKBID/HAVCR2/FER1L5/NLRP3/PGLYRP2/SLAMF6/CLNK/SH2D1B/MRGPRX2/EXOSC6/SLC15A4/DOCK11/TICAM1/RC3H1/IL23R/SHLD1/NKX2-3/ZFPM1/RNF168/APLF/UNC13D/GAPT/IL27/ZNF683/IFNL1/MILR1/CLEC4D/IFNE/MIR21/EIF2AK4/CCR2/C17orf99/KLRF2/SHLD3,289
GO:0002264,endothelial cell activation involved in immune response,TCIM,1
GO:0002265,astrocyte activation involved in immune response,APP/GRN/LRP1/PSEN1,4
GO:0002269,leukocyte activation involved in inflammatory response,AGER/AIF1/APP/ATM/AZU1/C1QA/C5AR1/CTSC/CLU/CX3CR1/FPR2/GRN/IFNG/IFNGR1/IFNGR2/IL4/IL6/IL13/ITGAM/ITGB2/JAK2/JUN/LDLR/MAPT/MMP8/MYD88/PTPRC/SCNN1B/CCL3/CX3CL1/SNCA/TLR2/TLR3/TNF/TYROBP/TRPV1/CST7/SPHK1/NR1D1/TLR6/TRAF3IP2/SYT11/STAP1/TREM2/TTBK1/LRRK2/TAFA3/MIR128-1/MIR142/MIR181C,50
GO:0002270,plasmacytoid dendritic cell activation,IRF8/LAG3,2
GO:0002273,plasmacytoid dendritic cell differentiation,IRF8,1
GO:0002274,myeloid leukocyte activation,ADAM10/ADORA2B/AGER/AIF1/ANXA1/ANXA3/APP/RHOH/ATM/AZU1/BCR/BLK/BPI/BTK/C1QA/C5AR1/CAMK4/CAMP/CBL/CD2/CD33/CD74/CEBPA/CTSC/CHGA/CLU/CNR1/CNR2/CSF1/CSF2/CTSG/CX3CR1/DNASE1/DNASE1L3/DOCK2/EDN2/F2RL1/FCER1G/FCGR2B/FER/FES/FGR/FOXF1/FN1/FPR2/GATA1/GATA2/GRN/HMGB1/HMOX1/HSPD1/IFI35/IFNG/IFNGR1/IFNGR2/RBPJ/IL4/IL4R/IL6/CXCL8/CXCR2/IL10/IL13/IL13RA2/IL15/IL18/IRF4/ITGAM/ITGB2/ITGB6/ITGB8/JAK2/JUN/JUND/KARS1/KIT/LBP/LCP2/LDLR/LGALS9/LTBR/LYN/MAPT/MIF/MMP8/CD200/MT1G/MYD88/NPY/NOTCH2/ENPP3/PDPK1/PIK3CD/PIK3CG/PLA2G2A/PLA2G4A/PLCG2/PLSCR1/PRKCD/PRKCE/PSEN1/PTAFR/PTGDR/PTGDS/PTPN6/PTPRC/NECTIN2/RAC2/RELB/RORA/S100A12/S100A13/SCNN1B/CCL3/CCL5/CXCL6/CX3CL1/SLAMF1/SLC11A1/SNCA/SPI1/STX4/STXBP1/STXBP2/STXBP3/VAMP2/VAMP7/SYK/TGFBR2/THBS1/TLR1/TLR2/TLR3/TLR4/GPR137B/TNF/TRAF6/TYROBP/TRPV1/LAT2/WNT5A/NR4A3/DYSF/PLA2G10/CST7/VAMP8/HYAL2/SNX4/ADAM9/SNAP23/CD84/SPHK1/NMI/IL1RL1/MFHAS1/NR1D1/GAB2/PJA2/NR1H3/TSPAN32/RASGRP1/DHRS2/TLR6/PRG3/NDRG1/UBD/BATF/CD226/TRAF3IP2/CPLX2/LILRB4/LILRA2/TREX1/CD300A/VSIG4/SBNO2/CD93/SYT11/JMJD6/SHPK/STAP1/HAVCR1/LAT/FOXP1/RABGEF1/PYCARD/ADGRE2/PLA2G3/TREM2/BATF3/KMT2E/SUCNR1/SPHK2/C12orf4/CD177/PREX1/HAMP/CRLF2/CRTC3/TNIP2/ZC3H12A/DCSTAMP/PRAM1/TTBK1/HAVCR2/TSLP/FER1L5/IL33/TMEM106A/BATF2/CLNK/MRGPRX2/LRRK2/SPACA3/IL31RA/LRFN5/CD300LF/TICAM1/UNC13D/ADGRF5/MILR1/TAFA3/CLEC4D/MYO18A/PLPP6/MIR125A/MIR128-1/MIR130A/MIR142/MIR145/MIR181C/CCR2,232
GO:0002276,basophil activation involved in immune response,KARS1/ENPP3,2
GO:0002277,myeloid dendritic cell activation involved in immune response,DOCK2/SLAMF1/PYCARD,3
GO:0002280,monocyte activation involved in immune response,DYSF/FER1L5,2
GO:0002281,macrophage activation involved in immune response,CX3CR1/GRN/IFI35/IFNG/LBP/PLCG2/PRKCE/SYK/TYROBP/DYSF/NMI/TREX1/SBNO2/TREM2/SUCNR1/HAVCR2/FER1L5/TICAM1,18
GO:0002282,microglial cell activation involved in immune response,CX3CR1/GRN/TYROBP/TREM2,4
GO:0002283,neutrophil activation involved in immune response,ANXA3/BCR/DNASE1/DNASE1L3/FCER1G/ITGAM/ITGB2/MYD88/PTAFR/SCNN1B/SPI1/STXBP2/STXBP3/VAMP7/SYK/TYROBP/LILRA2/CD177/PRAM1,19
GO:0002286,T cell activation involved in immune response,ANXA1/ATP7A/BCL3/BCL6/CEACAM1/CD1C/CD80/CD86/CD74/CD81/GPR183/F2RL1/FCER1G/FCGR2B/MTOR/GATA3/NCKAP1L/HLA-DMB/HLA-DRA/HLA-DRB1/HLX/HMGB1/ICAM1/IFNA1/IFNA2/IFNA4/IFNA5/IFNA6/IFNA7/IFNA8/IFNA10/IFNA13/IFNA14/IFNA16/IFNA17/IFNA21/IFNB1/IFNG/IFNW1/IL2/IL4/IL4R/IL6/IL6R/IL12B/IL12RB1/IL18/IRF4/ITGAL/JAK3/LCP1/LGALS3/LGALS9/LY9/SMAD7/CD46/MDK/MYB/PCK1/PRKCZ/PSEN1/PTGER4/RAB27A/RARA/RELB/RORA/RORC/RPS6/CCL19/SLC11A1/SPN/STAT3/STAT6/TP53/TSC1/TNFSF4/EOMES/RIPK2/IL18R1/TNFSF18/SOCS5/BATF/LILRB1/FGL2/MALT1/TMEM98/CLEC4E/FOXP1/TBX21/FOXP3/ZBTB7B/LEF1/IL23A/APBB1IP/RC3H2/IFNK/ENTPD7/IL21/SEMA4A/NFKBIZ/ZC3H12A/LOXL3/CRACR2A/NFKBID/HAVCR2/NLRP3/SLAMF6/RC3H1/IL23R/ZFPM1/IL27/IFNL1/CLEC4D/IFNE/MIR21/EIF2AK4,116
GO:0002291,T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell,CD81/HLA-DMB/ICAM1/ITGAL/LGALS3/LGALS9/LILRB1/FGL2/APBB1IP/HAVCR2,10
GO:0002292,T cell differentiation involved in immune response,ANXA1/ATP7A/BCL3/BCL6/CD80/CD86/GPR183/FCER1G/MTOR/GATA3/HLA-DRA/HLA-DRB1/HLX/HMGB1/IFNG/IL2/IL4/IL4R/IL6/IL6R/IL12B/IL12RB1/IL18/IRF4/JAK3/LGALS9/LY9/SMAD7/CD46/MYB/PCK1/PRKCZ/PTGER4/RARA/RELB/RORA/RORC/CCL19/SPN/STAT3/STAT6/TSC1/TNFSF4/EOMES/RIPK2/IL18R1/SOCS5/BATF/FGL2/MALT1/TMEM98/CLEC4E/FOXP1/TBX21/FOXP3/ZBTB7B/LEF1/IL23A/RC3H2/ENTPD7/IL21/SEMA4A/NFKBIZ/ZC3H12A/LOXL3/CRACR2A/NFKBID/NLRP3/SLAMF6/RC3H1/IL23R/ZFPM1/IL27/IFNL1/CLEC4D/MIR21,76
GO:0002295,T-helper cell lineage commitment,MTOR/IL6/IL6R/IL12B/IL12RB1/IRF4/LY9/SPN/STAT3/STAT6/BATF/TBX21/IL23A/LOXL3/SLAMF6/IL23R/ZFPM1,17
GO:0002296,T-helper 1 cell lineage commitment,MTOR/SPN/STAT6/TBX21,4
GO:0002300,"CD8-positive, alpha-beta intraepithelial T cell differentiation",GPR18,1
GO:0002302,"CD8-positive, alpha-beta T cell differentiation involved in immune response",EOMES,1
GO:0002305,"CD8-positive, gamma-delta intraepithelial T cell differentiation",GPR18/KLRC1/CCR9,3
GO:0002309,T cell proliferation involved in immune response,RPS6/SLC11A1/TP53/TNFSF18/LILRB1,5
GO:0002312,B cell activation involved in immune response,ABL1/ADA/BCL3/BCL6/CD19/CD28/CD40/CD40LG/CDH17/CCR6/CR1/GPR183/ERCC1/PTK2B/FCGR2B/MSH6/HSPD1/IRF8/IFNB1/IL2/IL4/IL6/IL10/LFNG/LGALS1/LIG4/CD180/MFNG/MLH1/MSH2/NBN/NOTCH2/PLCG2/POU2AF1/PTPRC/RAG2/ST3GAL1/SPI1/STAT6/SUPT6H/TFRC/TGFB1/TLR4/TP53BP1/TNFSF4/UNG/NSD2/XBP1/TNFSF13/RNF8/EXO1/ITM2A/IL27RA/THOC1/PARP3/MAD2L2/BATF/PAXIP1/SWAP70/PLCL2/CLCF1/DLL1/TBX21/FOXP3/EXOSC3/KMT5B/SHLD2/RIF1/DOCK10/ITFG2/HMCES/AICDA/IL21/ATAD5/NDFIP1/KMT5C/EXOSC6/SLC15A4/DOCK11/SHLD1/NKX2-3/RNF168/APLF/GAPT/C17orf99/SHLD3,86
GO:0002313,mature B cell differentiation involved in immune response,ADA/BCL3/CDH17/CR1/GPR183/PTK2B/FCGR2B/IRF8/IL2/IL6/IL10/LFNG/LGALS1/MFNG/NOTCH2/PLCG2/POU2AF1/RAG2/ST3GAL1/SPI1/XBP1/ITM2A/DLL1/DOCK10/ITFG2/IL21/DOCK11/NKX2-3/C17orf99,29
GO:0002314,germinal center B cell differentiation,ADA/CDH17/IRF8/IL6/POU2AF1/SPI1/ITFG2/IL21,8
GO:0002315,marginal zone B cell differentiation,BCL3/CDH17/PTK2B/LFNG/MFNG/NOTCH2/DLL1/DOCK10/DOCK11,9
GO:0002316,follicular B cell differentiation,FCGR2B/IRF8/PLCG2/SPI1,4
GO:0002317,plasma cell differentiation,CR1/IL2/IL10/LGALS1/XBP1/ITM2A/NKX2-3,7
GO:0002319,memory B cell differentiation,ST3GAL1,1
GO:0002322,B cell proliferation involved in immune response,ABL1/CD19/CD180/TLR4/PLCL2/GAPT,6
GO:0002323,natural killer cell activation involved in immune response,AP1G1/HLA-F/IFNA1/IFNA2/IFNA4/IFNA5/IFNA6/IFNA7/IFNA8/IFNA10/IFNA13/IFNA14/IFNA16/IFNA17/IFNA21/IFNB1/IFNW1/IL12B/KLRC2/LAMP1/NKG7/RAB27A/VAMP7/PGLYRP1/CORO1A/CD244/IFNK/PGLYRP2/UNC13D/ZNF683/IFNE/KLRF2,32
GO:0002326,B cell lineage commitment,BCL2/PRKDC/RAG2/TCF3/TP53/SLAMF8,6
GO:0002327,immature B cell differentiation,ABL1/ATM/KIT/RAG1/RAG2/SPI1/TRAF3IP2/LRRC8A/SYVN1/FNIP1/IRF2BP2,11
GO:0002329,pre-B cell differentiation,ATM/RAG1/RAG2/LRRC8A,4
GO:0002331,pre-B cell allelic exclusion,ATM/RAG1/RAG2,3
GO:0002333,transitional one stage B cell differentiation,ABL1,1
GO:0002334,transitional two stage B cell differentiation,TRAF3IP2,1
GO:0002335,mature B cell differentiation,ADA/BCL3/CD19/CDH17/CR1/GPR183/PTK2B/FCGR2B/IRF8/IL2/IL6/IL10/LFNG/LGALS1/MFNG/NOTCH2/PLCG2/POU2AF1/RAG2/ST3GAL1/SPI1/XBP1/ITM2A/MALT1/PLCL2/DLL1/DOCK10/ITFG2/SLAMF8/IL21/CMTM7/DOCK11/NKX2-3/C17orf99,34
GO:0002336,B-1 B cell lineage commitment,SLAMF8,1
GO:0002337,B-1a B cell differentiation,PLCL2/CMTM7,2
GO:0002344,B cell affinity maturation,BTK/TRAF3IP2,2
GO:0002352,B cell negative selection,BAK1/BAX,2
GO:0002358,B cell homeostatic proliferation,BAX/RAG2,2
GO:0002360,T cell lineage commitment,RHOA/BCL2/CTSL/MTOR/IL6/IL6R/IL7/IL12B/IL12RB1/IRF4/LY9/PRKDC/RAG2/SHH/SPN/STAT3/STAT6/TP53/FOXN1/TOX/BATF/TBX21/FOXP3/IL23A/LOXL3/SLAMF6/IL23R/ZFPM1,28
GO:0002361,"CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation",FUT7/HLA-DRA/HLA-DRB1/IFNG/LGALS9/TOX/PLA2G2D/FOXP3,8
GO:0002362,"CD4-positive, CD25-positive, alpha-beta regulatory T cell lineage commitment",TOX/FOXP3,2
GO:0002363,alpha-beta T cell lineage commitment,RHOA/BCL2/CTSL/MTOR/IL6/IL6R/IL12B/IL12RB1/IRF4/LY9/SPN/STAT3/STAT6/TOX/BATF/TBX21/FOXP3/IL23A/LOXL3/SLAMF6/IL23R/ZFPM1,22
GO:0002364,NK T cell lineage commitment,TOX,1
GO:0002366,leukocyte activation involved in immune response,ABL1/ADA/ADORA2B/AP1G1/ANXA1/ANXA3/ATP7A/BCL3/BCL6/BCR/CEACAM1/BLK/BTK/CBL/CD1C/CD19/CD28/CD80/CD86/CD40/CD40LG/CD74/CD81/CDH17/CHGA/CCR6/CR1/CX3CR1/DNASE1/DNASE1L3/DOCK2/GPR183/ERCC1/F2RL1/PTK2B/FCER1G/FCGR2B/FER/FES/FGR/FOXF1/MTOR/GATA1/GATA2/GATA3/GRN/MSH6/NCKAP1L/HLA-DMB/HLA-DRA/HLA-DRB1/HLA-F/HLX/HMGB1/HMOX1/HSPD1/ICAM1/IRF8/IFI35/IFNA1/IFNA2/IFNA4/IFNA5/IFNA6/IFNA7/IFNA8/IFNA10/IFNA13/IFNA14/IFNA16/IFNA17/IFNA21/IFNB1/IFNG/IFNW1/IL2/IL4/IL4R/IL6/IL6R/IL10/IL12B/IL12RB1/IL13/IL13RA2/IL18/IRF4/ITGAL/ITGAM/ITGB2/JAK3/KARS1/KIT/KLRC2/LAMP1/LBP/LCP1/LFNG/LGALS1/LGALS3/LGALS9/LIG4/LY9/CD180/LYN/SMAD7/CD46/MDK/MFNG/MLH1/MSH2/MYB/MYD88/NBN/NKG7/NOTCH2/PCK1/ENPP3/PDPK1/PIK3CD/PIK3CG/PLCG2/POU2AF1/PRKCE/PRKCZ/PSEN1/PTAFR/PTGDR/PTGDS/PTGER4/PTPN6/PTPRC/RAB27A/RAC2/RAG2/RARA/RELB/RORA/RORC/RPS6/S100A13/SCNN1B/CCL3/CCL19/ST3GAL1/SLAMF1/SLC11A1/SPI1/SPN/STAT3/STAT6/STX4/STXBP1/STXBP2/STXBP3/SUPT6H/VAMP2/VAMP7/SYK/TFRC/TGFB1/TLR4/TP53/TP53BP1/TSC1/TNFSF4/TYROBP/UNG/LAT2/NSD2/XBP1/NR4A3/DYSF/EOMES/VAMP8/SNX4/TNFSF13/RIPK2/SNAP23/IL18R1/CD84/PGLYRP1/TNFSF18/RNF8/NMI/EXO1/ITM2A/IL27RA/SOCS5/GAB2/THOC1/PARP3/RASGRP1/MAD2L2/BATF/CPLX2/LILRB1/FGL2/MALT1/LILRA2/CORO1A/TREX1/CD300A/SBNO2/PAXIP1/SWAP70/PLCL2/CLCF1/TMEM98/CLEC4E/LAT/FOXP1/RABGEF1/DLL1/PYCARD/TBX21/ADGRE2/PLA2G3/FOXP3/EXOSC3/ZBTB7B/KMT5B/LEF1/IL23A/CD244/TREM2/APBB1IP/SHLD2/RC3H2/RIF1/DOCK10/ITFG2/SUCNR1/IFNK/SPHK2/HMCES/ENTPD7/C12orf4/CD177/AICDA/IL21/SEMA4A/NFKBIZ/CLEC7A/ATAD5/ZC3H12A/NDFIP1/PRAM1/LOXL3/CRACR2A/KMT5C/NFKBID/HAVCR2/FER1L5/NLRP3/PGLYRP2/SLAMF6/CLNK/SH2D1B/MRGPRX2/EXOSC6/SLC15A4/DOCK11/TICAM1/RC3H1/IL23R/SHLD1/NKX2-3/ZFPM1/RNF168/APLF/UNC13D/GAPT/IL27/ZNF683/IFNL1/MILR1/CLEC4D/IFNE/MIR21/EIF2AK4/CCR2/C17orf99/KLRF2/SHLD3,285
GO:0002367,cytokine production involved in immune response,ANGPT1/APOA1/APOA2/ARG1/B2M/BCL6/BST2/BTK/CD36/CD74/CD81/CLC/CD55/DDX1/F2RL1/GATA3/FFAR3/FFAR2/HFE/HK1/HLA-A/HLA-E/HLA-F/HLA-G/HMOX1/IFNA2/IFNB1/IL1B/IL1R1/IL4/IL6/IL10/IL18/JAK3/KIR2DL4/KIT/SMAD7/MIF/PLCG2/PRKCZ/XCL1/SLAMF1/MAP3K7/TGFB1/TGFB2/TGFB3/TLR3/TLR4/TNF/TNFRSF1B/TRAF2/TRAF6/TNFSF4/WNT5A/LAPTM5/FZD5/NR4A3/SLC7A5/SEMA7A/TNFRSF14/IL18R1/BCL10/DDX21/ATG5/TRIL/CD96/SPON2/CD226/LILRB1/ARID5A/MALT1/LILRB4/CD160/IRAK3/SIRT1/DDX58/TBX21/FOXP3/GPRC5B/TREM1/SASH3/TRPM4/INAVA/SPHK2/MAVS/NOD2/CLEC7A/CUEDC2/SLAMF9/RSAD2/NLRP3/CLNK/TRIM6/LACC1/TICAM1/DENND1B/DHX36/RAET1G/SCIMP/CCR2,100
GO:0002373,plasmacytoid dendritic cell cytokine production,BST2/SLAMF9,2
