"","memory CD4+ T cells","memory CD8+ T cells","naive CD4+ T cells","naive CD8+ T cells","NKT","MAIT","Tregs","NK","Plasma cells","pre-B cells","cDC","pDC","Monocytes","Basophils","Neutrophils"
"ABL1_CD19_PTK2B",0,0,0,0,0,0,0,0,1.67,0.6,0.58,0,0,0,0
"CD19_PLK2_PTK2B",0,0,0,0,0,0,0,0,1.67,0.09,0,0.36,0.02,0,0
"HES1_HIF1A_SBDS",0,0.02,0,0,0,0,0,0,1.67,0.13,0,0,0.36,0,0
"NR1H3_PDE1B_PTPN2",0,0,0,0.09,0,0,0,0.01,1.67,0,0,0.73,0.22,0,0
"RNF8_SHLD1_THOC1",0.11,0.13,0.03,0,0,0,0.64,0.15,1.67,0.26,0,0.36,0.08,0,0
"CD300A_IL12A_NKG7",0.07,0.22,0,0,0.27,0.17,0,0.23,1.67,0,0,0,0,0,0
"BCL2_CD19_SRC",0,0,0,0,0,0,0,0,1.67,0.34,0,0,0,0,0
"LILRB4_NLRC3_SCRIB",0,0,0,0,0,0,0,0,1.67,0,0,0,0.04,0,0
"HES1_NFE2L2_PRKDC",0,0,0,0,0,0,0,0,1.67,0.09,0,0.36,0.68,0,0
"HES1_NFE2L2_SOS1",0,0,0,0,0,0,0,0,1.67,0.09,0,0,0.44,0,0
"DHX36_HES1_NFE2L2",0,0,0,0,0,0,0,0,1.67,0.09,0,0.36,0.62,0,0
"EP300_HES1_NFE2L2",0,0,0,0,0,0,0,0,1.67,0.04,0,0.36,0.93,0,0
"HES1_MED1_NFE2L2",0,0,0,0,0,0,0,0,1.67,0,0,0,0.38,0,0
"HES1_NFE2L2_TUBB",0,0,0,0,0,0,0,0,1.67,0.13,0,0.36,0.99,0,0
"HES1_NFE2L2_PTPN1",0,0,0,0,0,0,0,0,1.67,0.17,0,0,0.82,0,0
"HES1_NFE2L2_TRIB1",0,0,0,0,0,0,0,0,1.67,0,0,0,0.38,0,0
"HES1_NFE2L2_TFRC",0,0,0,0,0,0,0,0,1.67,0.09,0,0,0.42,0,0
"AIM2_EIF2AK2_LRP5",0,0.02,0,0,0,0,0,0,1.67,0.3,0,0,0.02,0,0
"FZD7_LRP5_STAT1",0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0
"CTC1_IGF1_SLFN11",0,0.02,0,0,0,0,0,0,1.67,0,0,0,0,0,0
"CTC1_IGF1_MAP2K4",0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0
"CDKN1A_CTC1_IGF1",0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0
"SYVN1_TRAF3IP2_TRIM32",0,0,0,0,0,0,0,0.01,1.67,0,0,0,0,0,0
"FBXW7_GBA_SLC7A11",0,0,0,0,0,0,0,0,1.67,0,0.58,0,0.04,0,0
"BCL2L11_HES1_HIF1A",0,0,0,0,0,0,0,0,1.67,0,0,0.36,0.22,0,0
"CAV1_METTL3_RIPK1",0,0,0,0,0,0,0,0,1.67,0,0,0.36,0,0,0
"HES1_MAPK3_PRKDC",0,0,0,0,0,0,0,0,1.67,0,0,0.36,0.34,0,0
"HES1_MED1_PRKDC",0,0,0,0,0,0,0,0,1.67,0.04,0,0,0.28,0,0
"HES1_MED1_SOS1",0,0,0,0,0,0,0,0,1.67,0.04,0,0,0.18,0,0
"HES1_SOS1_ZBTB1",0,0,0,0,0,0,0,0,1.67,0.13,0,0,0.12,0,0
"HES1_SOS1_TNFRSF1B",0,0,0,0,0,0,0,0,1.67,0.13,0,0,0.68,0,0
"HES1_MAPK3_SOS1",0,0,0,0,0,0,0,0,1.67,0.04,0,0,0.22,0,0
"BMPR1A_JAK2_STAT1",0,0,0,0,0.14,0.17,0,0.03,1.67,0.04,0,0.36,0.2,0,0
"FKBP1A_GBA_HES1",0,0,0,0,0,0,0,0,1.67,0,0,0,0.38,0,0
"FKBP1A_HES1_LDB1",0,0,0,0,0,0,0,0,1.67,0.04,0,0.36,0.32,0,0
"FKBP1A_HES1_LDLR",0,0,0,0,0,0,0,0,1.67,0,0,0,0.14,0,0
"ERCC2_FKBP1A_HES1",0,0,0,0,0,0,0,0,1.67,0,0,0,0.2,0,0
"FKBP1A_HES1_HIF1A",0,0,0,0,0,0,0,0,1.67,0.09,0,0.36,0.95,0,0
"BMPR1A_CEBPB_CTNNB1",0.3,0.37,0.08,0,0.55,0.17,0.32,0.23,1.67,0.22,0,0.73,0.26,0,0
"BMPR1A_CTNNB1_MAPK1",0.34,0.49,0.11,0,0.55,0.25,0.48,0.28,1.67,0.22,0,0.73,0.24,0,0
"BMPR1A_CTNNB1_NCSTN",0.15,0.13,0.03,0,0,0,0.16,0.09,1.67,0,0,0.73,0.18,0,0
"BMPR1A_CTNNB1_SKIL",0.11,0.08,0.03,0,0,0.08,0,0.12,1.67,0.09,0,0,0.14,0,0
"BMPR1A_CTNNB1_TRIB1",0,0,0,0,0,0,0.16,0,1.67,0,0,0,0.08,0,0
"BMPR1A_CTNNB1_THOC5",0.07,0.11,0.06,0,0,0,0.16,0.05,1.67,0.09,0,0,0.06,0,0
"BMPR1A_STAT1_TRIB1",0.04,0,0,0,0,0,0.16,0,1.67,0,0,0.36,0.14,0,0
"IFNLR1_RHOA_SRF",0.04,0.05,0.03,0,0.14,0.08,0,0,1.67,0.13,0.58,0,0,0,0
"CASP3_EZH2_STK3",0,0.03,0,0,0,0,0,0.01,1.67,0,0,0.36,0.2,0,0
"PDE4D_PYCARD_ZC3H12A",0.11,0.22,0.14,0.09,0.82,0.33,0.16,0.52,1.67,0.47,0,0,0.24,0,0
"ERBB2_FBXW7_UBQLN1",0,0.4,0,0,0.55,0.08,0.16,0.45,1.67,0.09,0,0,0.12,0,0
"GFER_GLMN_TSC1",0.11,0.24,0.06,0.09,0.14,0.42,0,0.08,1.67,0.17,0,0,0.18,0.29,0
"CGAS_ZC3H12A_ZMPSTE24",0.04,0.03,0.03,0,0.27,0,0.32,0.05,1.67,0.09,0.58,0.36,0.42,0,0
"TP53_ZC3H12A_ZMPSTE24",0,0.13,0.06,0,0.41,0,0.32,0.13,1.67,0.17,0.58,0.73,0.44,0,0.04
"FER_IL6R_STAP1",0,0,0.03,0,0,0,0,0,1.67,0,0.58,0.36,0.02,0,0
"PTPN2_SOCS5_STAP1",0,0.02,0.08,0,0,0,0,0,1.67,0.69,0.58,0,0,0,0
"BMPR1A_CYLD_TP53",0.3,0.16,0.17,0.19,0.27,0.17,0.64,0.13,1.67,0.04,0,0.36,0.14,0,0
"CYBB_ITGB2_PDGFD",0,0.33,0,0,0.41,0,0,0.52,1.67,0.04,0.58,0.73,0.22,0,0.04
"ADAM17_HES1_RBPJ",0,0,0,0,0,0,0,0,1.67,0.09,0,0.36,0.72,0,0
"CHD7_EXT1_TIPARP",0.04,0.05,0,0,0,0,0,0.04,1.67,0.04,0.58,0,0.04,0,0
"BCL2_IGF1_PIKFYVE",0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0
"BCL2_ENTPD7_IGF1",0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0
"BCL2L11_RGCC_VEGFA",0,0,0,0,0,0,0,0,1.67,0,0,0.73,0.34,0,0
"BCL2L11_DNAJB9_VEGFA",0,0,0,0,0,0,0,0,1.67,0,0,0,0.66,0,0
"BCL2L11_MAPKAPK2_VEGFA",0,0,0,0,0,0,0,0,1.67,0,0,0,1.05,0,0.04
"HECTD1_HES1_TRIM5",0,0,0,0,0,0,0,0,1.67,0.04,0,0.36,0.14,0,0
"HECTD1_HES1_MAPK3",0,0,0,0,0,0,0,0,1.67,0.09,0,0.36,0.26,0,0
"HECTD1_HES1_LDB1",0,0,0,0,0,0,0,0,1.67,0.04,0,0.36,0.16,0,0
"ERCC2_HECTD1_HES1",0,0,0,0,0,0,0,0,1.67,0,0,0,0.08,0,0
"B4GALT1_VEGFA_ZEB1",0.04,0,0,0,0,0,0,0,1.67,0,0,0.73,0.04,0,0
"NFE2L2_PIM1_ZP3",0.07,0.03,0.17,0.19,0,0.17,0,0,1.67,0,0.58,0.73,0.58,0,0
"NFE2L2_TP53_YES1",0.07,0.19,0.08,0.19,0.27,0.17,0.32,0.21,1.67,0,0,0.73,0.04,0,0.04
"APLF_NFE2L2_TP53",0,0.02,0.03,0,0,0,0,0.03,1.67,0.17,0.58,0.73,0.44,0,0
"HES1_PUM1_STAT3",0,0,0,0,0,0.08,0,0,1.67,0.22,0,0,0.89,0,0
"APOBEC3H_OTUD4_TRIM28",0.11,0.32,0,0,0.41,0,0.48,0.21,1.67,0,0,0,0.06,0,0
"APOBEC3B_APOBEC3H_TRIM28",0,0,0,0,0,0,0,0,1.67,0,0,0,0.02,0,0
"BAD_GBA_SLC7A11",0,0,0,0,0,0,0,0,1.67,0,0.58,0,0.04,0,0
"BMPR1A_FTH1_TP53",0.48,0.38,0.22,0.28,0.55,0.59,0.81,0.29,1.67,0.3,0,0.36,0.18,0,0
"FAM3A_KCNQ1_LDLR",0.04,0,0,0,0,0,0,0,1.67,0,0,0,0.72,0,0
"HES1_TNFRSF1B_TOMM70",0,0,0,0,0,0,0,0,1.67,0.04,0,0,0.42,0,0
"BCL2L11_HES1_TNFRSF1B",0,0,0,0,0,0,0,0,1.67,0,0,0.36,0.52,0,0
"HES1_REST_STAT3",0,0,0,0,0,0,0,0,1.67,0.17,0,0.36,0.97,0,0
"CASP3_STAT3_TOP2A",0,0.02,0,0,0,0,0.16,0.01,1.67,0,0.58,0.36,0.1,0,0
"ITGB1_VEGFA_ZEB1",0.04,0,0,0,0,0,0,0,1.67,0,0,0.73,0.04,0.29,0
"CX3CR1_IGF1_RAB10",0,0.02,0,0,0,0,0,0.01,1.67,0,0.58,0.36,0.04,0,0
"HES1_IKBKG_MAPK3",0,0,0,0,0,0,0,0,1.67,0,0,0.36,0.26,0,0
"HES1_MAPK3_STAT3",0,0,0,0,0,0,0,0,1.67,0,0,0.36,0.5,0,0
"DDX3X_HES1_MAPK3",0,0,0,0,0,0,0,0,1.67,0.09,0,0.36,0.66,0,0
"HES1_MAPK3_PAFAH1B1",0,0,0,0,0,0,0,0,1.67,0.04,0,0,0.5,0,0
"HES1_MAPK3_TRIM27",0,0,0,0,0,0,0,0,1.67,0.04,0,0,0.34,0,0
"FZD7_KAT2A_LMO4",0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0
"EXT1_FZD7_TCIRG1",0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0
"GBA_HES1_ZFP36L2",0,0,0,0,0,0,0,0,1.67,0.09,0,0,0.3,0,0
"GBA_HES1_MSN",0,0,0,0,0,0,0,0,1.67,0.09,0,0,0.36,0,0
"GBA_HES1_MEF2C",0,0,0,0,0,0,0,0,1.67,0.09,0,0,0.22,0,0
"GBA_HES1_RHOA",0,0,0,0,0,0,0,0,1.67,0.09,0,0,0.38,0,0
"CIB1_GBA_HES1",0,0,0,0,0,0,0,0,1.67,0.09,0,0,0.34,0,0
"HES1_STAT3_TOMM70",0,0,0,0,0,0,0,0,1.67,0.13,0,0,0.32,0,0
"HES1_RBPJ_TOMM70",0,0,0,0,0,0,0,0,1.67,0.09,0,0,0.3,0,0
"ATG5_HES1_TOMM70",0,0,0,0,0,0,0,0,1.67,0,0,0,0.14,0,0
"HES1_TOMM70_TRIM27",0,0,0,0,0,0,0,0,1.67,0.13,0,0,0.28,0,0
"HES1_MED1_TRIM25",0,0,0,0,0,0,0,0,1.67,0,0,0,0.22,0,0
"HES1_MED1_RBPJ",0,0,0,0,0,0,0,0,1.67,0.04,0,0,0.4,0,0
"HES1_MED1_TUBB",0,0,0,0,0,0,0,0,1.67,0,0,0,0.48,0,0
"SIN3A_ZC3H12A_ZMPSTE24",0.11,0.16,0.03,0,0.68,0.08,0.16,0.12,1.67,0.09,0,0,0.36,0,0.04
"MAPK3_PAXIP1_TBK1",0.15,0.03,0,0,0.27,0,0.48,0.04,1.67,0.04,0.58,0.73,0.44,0,0
"ENTPD7_IGF1_JARID2",0,0,0,0,0,0,0,0,1.67,0,0,0.36,0,0,0
"RGCC_VEGFA_ZEB1",0.04,0,0,0,0,0,0,0,1.67,0,0,0,0,0.29,0
"HDAC4_IGF1_PSEN1",0,0,0,0,0,0,0,0,1.67,0,0,0,0.02,0,0
"CSK_VEGFA_ZEB1",0,0,0,0,0,0,0,0,1.67,0.04,0,0.36,0.06,0,0
"CAV1_RHOG_SNX10",0,0,0,0,0,0,0.48,0.03,1.67,0.17,0,0.36,0,0,0
"FZD7_KAT2A_PRKD2",0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0
"KAT2A_PRKD2_SRF",0,0.03,0.06,0,0.27,0,0.48,0.04,1.67,0.26,0,0.36,0.14,0,0
"HES1_LDB1_ZFP36L2",0,0,0,0,0,0,0,0,1.67,0.04,0,0.36,0.26,0,0
"HES1_LDB1_MEF2C",0,0,0,0,0,0,0,0,1.67,0,0,0.36,0.24,0,0
"HES1_LDB1_RHOA",0,0,0,0,0,0,0,0,1.67,0.04,0,0.36,0.32,0,0
"CIB1_HES1_LDB1",0,0,0,0,0,0,0,0,1.67,0,0,0.36,0.32,0,0
"HES1_HIF1A_RAF1",0,0,0,0,0,0,0,0,1.67,0.09,0,0.36,0.4,0,0
"HES1_LDLR_ZFP36L2",0,0,0,0,0,0,0,0,1.67,0,0,0,0.14,0,0
"ERCC2_HES1_ZFP36L2",0,0,0,0,0,0,0,0,1.67,0,0,0,0.18,0,0
"BCL2_MAPK8_MUL1",0.37,0.17,0.19,0.38,0.14,0.08,0,0.04,1.67,0.22,0,0.36,0.02,0,0
"GTPBP1_METTL3_ZP3",0,0,0,0,0,0,0,0,1.67,0.04,0.58,0.36,0.18,0,0
"PAF1_RGCC_SMAD7",0.15,0.29,0,0,0.55,0.33,0.32,0.05,1.67,0,0,0,0.16,0,0
"AIF1_BRCA2_IGF1",0,0,0,0,0,0,0,0,1.67,0,0.58,0.73,0,0,0
"JMJD6_PIAS3_TRIM27",0.07,0.14,0,0,0.41,0.17,0,0.13,1.67,0.04,0.58,0.73,0.6,0,0
"CD81_HES1_LDLR",0,0,0,0,0,0,0,0,1.67,0,0,0,0.08,0,0
"BAD_PLK2_STX4",0,0,0,0.09,0,0,0,0,1.67,0,0,0,0.1,0,0
"FLCN_HSP90AB1_TRIM39",0.41,0.25,0.39,0.09,0.55,0.25,0.48,0.2,1.67,0.3,0,0.36,0.48,0,0
"ARMC5_BRD1_SIRT1",0,0.08,0.03,0.09,0,0.08,0,0.03,1.67,0,0.58,0.36,0.18,0,0
"BMP6_CASP3_TGFB1",0,0,0,0,0,0,0,0,1.67,0,0,0,0.02,0,0
"CAV1_IKBKG_PIKFYVE",0,0,0,0,0,0,0.32,0,1.67,0.04,0,0,0,0,0
"HES1_LAPTM5_LDLR",0,0,0,0,0,0,0,0,1.67,0,0,0,0.14,0,0
"HES1_LDLR_MEF2C",0,0,0,0,0,0,0,0,1.67,0,0,0,0.1,0,0
"ERCC2_HES1_MEF2C",0,0,0,0,0,0,0,0,1.67,0,0,0,0.12,0,0
"CX3CR1_IGF1_MAPK14",0,0.02,0,0,0,0,0,0,1.67,0,0.58,0,0.02,0,0
"CX3CR1_IGF1_ROCK1",0,0.02,0,0,0,0,0,0.01,1.67,0,0.58,0.36,0.02,0,0
"HES1_LDLR_RHOA",0,0,0,0,0,0,0,0,1.67,0,0,0,0.14,0,0
"CAV1_HES1_RHOA",0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0
"ERCC2_HES1_RHOA",0,0,0,0,0,0,0,0,1.67,0,0,0,0.2,0,0
"ESR1_MTOR_TGFB1",0.04,0.03,0,0,0,0,0,0,1.67,0,0,0,0.06,0,0
"ESR1_NCSTN_TGFB1",0.07,0.06,0.03,0,0,0,0,0.04,1.67,0.04,0.58,0,0.08,0,0
"BMPR1A_PPP3CA_TP53",0.15,0.14,0.11,0.09,0.27,0.33,0.32,0.15,1.67,0.22,0,0,0.08,0,0
"BCL2L11_MTOR_TMEM102",0,0.05,0.06,0.09,0.41,0,0.48,0.03,1.67,0.09,0,0.36,0.32,0,0
"BCL2L11_FLCN_MTOR",0.04,0.08,0,0.09,0.14,0.08,0.32,0.03,1.67,0.04,0.58,0,0.44,0,0
"BRCA2_IGF1_MAP2K4",0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0
"IGF1_MAP2K4_MAPK14",0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0
"HES1_RBPJ_SKIL",0,0,0,0,0,0,0,0,1.67,0.09,0,0,0.74,0,0
"BMPR1A_MIF_TP53",0.34,0.19,0.14,0.19,0.41,0.5,0.48,0.19,1.67,0.17,0,0.36,0.06,0,0
"HIF1A_PDE1B_ZNF335",0.04,0.06,0.06,0,0.14,0,0.48,0.01,1.67,0.04,0,0.73,0.48,0,0
"CD9_MYO1C_PECAM1",0,0,0,0,0,0,0,0,1.67,0,0,0.73,0.56,0.29,0
"NFE2L2_SOD2_YES1",0.04,0.22,0.03,0.09,0.27,0.25,0.32,0.2,1.67,0,0.58,0,0.08,0,0.07
"NFE2L2_PRNP_YES1",0.11,0.29,0.03,0.19,0.55,0.42,0,0.37,1.67,0,0,0.73,0.02,0.29,0.04
"ERBB2_FBXW7_SOS1",0,0.16,0,0,0.14,0.08,0.16,0.52,1.67,0.09,0,0,0.02,0,0
"CCNB2_EZH2_TOP2A",0,0,0,0,0,0,0,0.01,1.67,0,0.58,0.36,0,0.29,0.07
"EIF2AK4_FZD7_KAT2A",0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0
"CIB1_HES1_LDLR",0,0,0,0,0,0,0,0,1.67,0,0,0,0.12,0,0
"HES1_LDLR_TRIM27",0,0,0,0,0,0,0,0,1.67,0,0,0,0.06,0,0
"BMPR1A_G3BP2_TP53",0.3,0.14,0.14,0.19,0.14,0.33,0.64,0.13,1.67,0.13,0,0.36,0.12,0,0
"CIB1_ERCC2_HES1",0,0,0,0,0,0,0,0,1.67,0,0,0,0.2,0,0
"ERBB2_FBXW7_MED1",0,0.14,0,0,0.27,0,0,0.39,1.67,0.04,0,0,0.14,0,0.04
"HES1_TRIM27_TUBB",0,0,0,0,0,0.08,0,0,1.67,0.26,0,0,0.87,0,0
"HRAS_MYO1C_ZBTB7B",0.11,0.06,0.03,0,0,0,0.32,0,1.67,0.39,0,0.73,0.58,0,0.04
"BMPR1A_HIPK2_TP53",0.04,0.05,0.06,0,0.14,0.08,0,0.13,1.67,0.13,0,0,0.08,0,0
"BMPR1A_RHOA_TP53",0.37,0.29,0.19,0.28,0.41,0.5,0.81,0.28,1.67,0.3,0,0.36,0.18,0,0
"ERCC2_EZH2_HEXIM1",0.07,0,0,0,0,0,0.32,0.04,1.67,0,0,0.36,0.04,0,0
"FBXO38_PELI1_TRIM32",0,0.05,0,0,0,0,0.32,0,1.67,0,0,0,0.02,0,0
"HRAS_MYO1C_WASL",0.07,0.03,0,0,0.14,0.08,0.16,0,1.67,0.04,0,0.73,0.28,0,0
"IGF1_MAPK14_PMAIP1",0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0
"HES1_HIF1A_SETD2",0,0,0,0,0,0,0,0,1.67,0,0,0.36,0.32,0,0
"HES1_HIF1A_PPP3CA",0,0,0,0,0,0,0,0,1.67,0.04,0,0.36,0.44,0,0
"AHR_IL12A",0,0.05,0,0,0.14,0,0.16,0.01,1.25,0.04,0,0.36,0.12,0,0
"CD19_FKBP1B",0,0.02,0,0,0,0,0,0,1.25,0.52,0,0,0.04,0,0
"WNT2B_ZMPSTE24",0.15,0.14,0.08,0,0,0,0.32,0.05,1.25,0.13,0.58,0.36,0.1,0,0
"RAC1_RAPGEF3",0.07,0.17,0.06,0,0.27,0,0.16,0.12,1.25,0.26,0,0,0.2,0,0
"ESR1_SCRIB",0.04,0,0.03,0,0,0,0,0,1.25,0,0,0,0,0,0
"HSPA1B_SLAMF1_TIGIT",0.07,0.1,0,0,0,0.08,0,0,1.25,0,0,0,0.04,0,0
"DNAJB9_OSM_TFRC",0.07,0.02,0,0,0.14,0,0,0.01,1.25,0,0,0.36,0.16,0,0
"RAC1_RAPGEF3_RASAL3",0,0.11,0.03,0,0.27,0,0,0.08,1.25,0.09,0,0,0.1,0,0
"BATF_TBX21_TRIB1",0,0.03,0,0,0.14,0,0.16,0.01,1.25,0,0,0.36,0.16,0,0.04
"TRIM38_WNT2B_ZMPSTE24",0,0.1,0.08,0,0,0,0.16,0.03,1.25,0.13,0,0,0.1,0,0
"FER_SLAMF1_STAP1",0,0.02,0.03,0,0,0,0,0,1.25,0.04,0,0,0,0,0
"FER_RGCC_SLAMF1",0.37,0.14,0.11,0.09,0.14,0.25,0,0,1.25,0,0,0,0.02,0,0
"FADD_TENT2_ZC3H12A",0.15,0.17,0.03,0,0.55,0.17,0.16,0.15,1.25,0.17,0,0.36,0.18,0,0
"CAV1_FADD_ICAM1",0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0
"RNF168_SHLD1_SHLD2",0.19,0.13,0.06,0,0.27,0.17,0.48,0.17,1.25,0,0,0.36,0.24,0,0
"ITGB2_PDE1B_STAP1",0,0,0,0,0,0,0,0.04,1.25,0.34,0,0.36,0,0,0
"CARD11_CD86_TRAF3IP2",0,0,0,0,0,0,0,0,1.25,0.17,0.58,0,0,0,0
"GFI1_HSPA1A_SKIL",0.04,0.14,0.03,0,0.41,0.08,0,0.31,1.25,0.04,0,0,0.12,0,0.04
"PTPN22_SYT11_TIRAP",0,0.16,0.03,0,0.41,0,0.16,0.16,1.25,0,0,0.36,0.08,0,0
"FADD_RIPK3_ZBTB1",0.11,0.11,0.08,0.09,0.14,0,0.48,0.05,1.25,0.09,0.58,0.36,0.3,0,0
"IFI27_TNFSF10_TP53",0.07,0.02,0.03,0,0,0.08,0.32,0,1.25,0,0,0,0.6,0,0
"LGALS3_MS4A1_TRIM32",0.07,0.03,0,0,0,0.08,0,0.04,1.25,0.13,0,0,0.02,0,0
"GPLD1_SRF_ZFPM1",0,0,0,0.09,0,0,0,0,1.25,0,0,0,0,0,0
"CDKN1A_PYCARD_XCL2",0,0.1,0,0,0.14,0.08,0,0.09,1.25,0,0,0.36,0.14,0,0.04
"CD19_CX3CR1_FCGR2B",0,0,0,0,0,0,0,0.01,1.25,0.17,0,0.73,0.02,0,0
"FASN_IRF4_LEF1",0.04,0,0.08,0.09,0,0,0,0.01,1.25,0,0.58,0,0.02,0,0
"BRD1_HES1_PRKDC",0,0,0,0,0,0,0,0,1.25,0.09,0,0,0.2,0,0
"NFE2L2_PLK2_YES1",0,0.02,0,0,0,0,0,0,1.25,0,0,0,0,0,0
"IFI6_LRP5_PML",0,0,0.03,0,0,0,0,0,1.25,0.13,0.58,0,0.1,0,0
"MCOLN1_TBX21_TFRC",0.04,0.29,0,0,0.41,0,0.16,0.27,1.25,0,0.58,0,0.16,0,0.04
"BMPR1A_PML_STAT1",0.15,0.21,0.06,0.09,0.14,0.08,0,0.07,1.25,0.13,0,0.73,0.16,0,0
"IL23A_RELB_SLAMF1",0.37,0.1,0.11,0,0,0.25,0.32,0,1.25,0.22,0,0,0,0,0
"RELB_SLAMF1_SLC11A1",0,0.02,0.03,0,0,0,0.16,0,1.25,0.04,0,0.36,0.22,0,0.04
"RELB_SLAMF1_SMAD7",0.19,0.06,0,0,0,0.08,0.16,0,1.25,0.04,0.58,0,0.02,0,0
"DUSP10_IGHA1_JCHAIN",0.11,0.05,0,0,0,0,0.32,0.07,1.25,0.39,0.58,0.36,0.28,0,0.04
"ATF2_PRKD2_SIRT1",0.26,0.19,0.14,0.28,0.14,0.08,0.48,0.13,1.25,0.39,0.58,0.36,0.44,0.29,0
"NF1_PIAS3_PRKCZ",0,0.02,0,0,0,0.08,0,0,1.25,0,0,0,0.04,0,0
"AP1G1_APOBEC3H_BLOC1S6",0.11,0.21,0,0,0.14,0,0.64,0.21,1.25,0,0,0,0.02,0,0
"GATA3_IL15RA_JAK2",0.11,0.1,0,0,0,0.17,0,0.08,1.25,0,0,0,0.1,0,0
"APPL2_CDKN1A_MYC",0,0,0,0,0,0,0,0,1.25,0.09,0,0.73,0.34,0,0
"BMPR1A_NR1H2_TP53",0.04,0.08,0,0,0,0.08,0,0.07,1.25,0.22,0,0.36,0.12,0,0
"BLOC1S2_HES1_HIF1A",0,0,0,0,0,0,0,0,1.25,0.17,0,0.36,0.68,0,0
"FOXP1_PDE1B_STAP1",0,0,0,0,0,0,0,0.03,1.25,0.34,0,0.36,0,0,0
"DENND1B_IL23A_SLAMF1",0.3,0.11,0.08,0,0,0.33,0.64,0,1.25,0.04,0,0,0,0,0.04
"HES1_MEF2C_PTPN11",0,0,0,0,0,0,0,0,1.25,0.09,0,0.36,0.36,0,0
"FBXO38_NOTCH2_TRIM32",0.04,0.05,0.08,0,0,0.08,0.32,0.07,1.25,0.09,0,0.73,0.2,0,0
"BMPR1A_TP53_TRIM27",0.04,0.05,0,0,0.27,0.17,0.16,0.07,1.25,0.13,0,0,0.06,0,0
"HES1_TP53_TRIM27",0,0,0,0,0,0.08,0,0,1.25,0,0,0,0.48,0,0
"FNIP1_HES1_MED1",0,0,0,0,0,0,0,0,1.25,0,0,0,0.34,0,0
"FNIP1_HES1_RAF1",0,0,0,0,0,0,0,0,1.25,0.17,0,0.36,0.5,0,0
"CAV1_GATA3_STK11",0,0,0,0,0,0,0.48,0,1.25,0,0,0,0,0,0
"LY9_RFTN1_YJEFN3",0.04,0.13,0.11,0.09,0.55,0.08,0.16,0.13,1.25,0.09,0,0,0,0,0
"CD19_FER_STAP1",0,0,0,0,0,0,0,0,1.25,0.26,0,0,0,0,0
"CD81_PRKCZ_SOCS5",0.22,0.14,0.11,0.09,0,0.08,0.32,0.16,1.25,0.17,0.58,0.36,0.04,0,0
"BLK_LYN_PRKCQ",0,0.05,0.03,0,0,0,0,0,1.25,0.13,0.58,0,0,0,0
"HES1_RBPJ_SIN3A",0,0,0,0,0,0,0,0,1.25,0.04,0,0,0.38,0,0
"AMBRA1_PTK2B_SMPD1",0,0.19,0.14,0,0,0.08,0,0.08,1.25,0.09,0,0.36,0.24,0,0
"IFI27_IKBKB_MYD88",0.04,0.02,0,0,0,0,0.16,0.01,1.25,0,0,0.36,0.46,0,0
"CTNNB1_HES1_P2RX4",0,0,0,0,0,0,0,0,1.25,0,0,0,0.52,0,0
"CTNNB1_HES1_NCSTN",0,0,0,0,0,0,0,0,1.25,0.09,0,0,0.54,0,0
"CTNNB1_HES1_TOMM70",0,0,0,0,0,0,0,0,1.25,0.09,0,0,0.28,0,0
"CTNNB1_HES1_HIPK1",0,0,0,0,0,0,0,0,1.25,0.09,0,0,0.74,0,0
"CTNNB1_HES1_STK11",0,0,0,0,0,0,0,0,1.25,0,0,0,0.42,0,0
"CTNNB1_HES1_SMAD5",0,0,0,0,0,0,0,0,1.25,0.04,0,0,0.24,0,0
"MSH2_POLL_SHLD1",0.04,0.11,0.06,0,0,0.08,0.32,0.08,1.25,0.17,0,0.36,0.06,0,0
"FER_FOXO3_RGCC",0.3,0.16,0.3,0.19,0.14,0.08,0.16,0.03,1.25,0,0,0,0.3,0,0
"CD19_FGR_FKBP1B",0,0.02,0,0,0,0,0,0,1.25,0.09,0,0,0.04,0,0
"MAPK3_SLAMF1_SLC11A1",0.04,0,0.03,0,0,0,0.16,0,1.25,0,0,0,0.2,0,0
"BMP6_FADD_TGFB1",0,0,0,0,0,0,0,0,1.25,0.04,0,0,0.04,0,0
"ESR1_FADD_TGFB1",0.07,0.02,0.08,0,0,0,0,0.01,1.25,0,0,0,0.02,0,0
"SLAMF1_SMAD7_ZBTB7B",0.26,0.21,0,0,0.14,0.17,0.16,0,1.25,0,0,0,0.02,0,0
"CD86_GATA3_PRKCZ",0,0,0,0.09,0,0,0.16,0,1.25,0,0,0.36,0.02,0,0
